coding,Count of coding
"safe, uses official information",84
"safe, uses verifiable information",72
"safe, reaction",32
unrelated,26
not english,20
"safe, satire",9
"potentially misleading, unconfirmed claim",8
"potentially misleading, questions authenticity of news",7
"harmful, vaccine fear mongering",7
"safe, reaction to misinformation",6
"harmful, false claims",6
"harmful, anti lgbtq+ fear mongering",5
"harmful, false claims posing as official source",4
"potentially misleading, missing info",3
"potentially misleading, election fraud conspiracy",3
"bill gates, harmful, planned pandemic, vaccine fear mongering, world government fear mongering",3
"harmful, false claims creator name",3
"attack on demetre daskalakis, harmful, anti lgbtq+ fear mongering",2
"potentially misleading, a.i. generated photo",2
"false claims, harmful, vaccine fear mongering",2
crypto,2
"harmful, questions authenticity of news creator name",2
"potentially misleading, unrelated trump quote",2
"false claims, harmful, vaccine conspiracy fear mongering",2
"potentially misleading, unverifiable source",2
"harmful, planned pandemic, threatening or malicious intent towards individual/group",2
"harmful, pharma fear mongering, vaccine fear mongering",2
"attack on demetre daskalakis, harmful, anti lgbtq+ fear mongering, satanist accusations",2
"harmful, pharma conspiracy fear mongering, world government fear mongering",2
"election fraud, harmful, planned pandemic, world government fear mongering",2
"harmful, vaccine fear mongering, pharma conspiracy fear mongering",2
"harmful, vaccine fear mongering, questions authenticity of news",2
"harmful, vaccine fear mongering creator name",2
"harmful, threatening or malicious intentions towards individual/group",2
"harmful, pharma conspiracy fear mongering",2
"false claims, harmful, planned pandemic",1
"false claims posing as official source, harmful, anti lgbtq+ fear mongering",1
"false claims, harmful, vaccine fear mongering, questions authenticity of news",1
"anti lgbtq+ fear mongering, harmful, questions authenticity of news",1
"false claims, harmful, anti lgbtq+ fear mongering",1
"harmful, false claims posing as official source creator name",1
"false claims, harmful, vaccine fear mongering, pharma conspiracy fear mongering",1
"harmful, false claims posing as official source, pharma conspiracy fear mongering",1
"harmful, election fraud,false claims, unrelated trump quote",1
"anti african fear mongering, harmful, vaccine fear mongering, pharma conspiracy fear mongering",1
"potentially misleading, anti lgbtq+ fear mongering",1
"bill gates, harmful, vaccine fear mongering, world government fear mongering",1
"false claims, harmful, pharma fear mongering, vaccine fear mongering",1
"harmful, pharma fear mongering, unrelated trump quote, vaccine fear mongering",1
"anti lgbtq+ fear mongering, antisemitism, harmful, threatening or malicious intentions towards individual/group",1
"anti lgbtq+ fear mongering, harmful, vaccine fear mongering, pharma conspiracy fear mongering",1
"potentially misleading, vaccine fearmongering",1
"harmful, pharma, conspiracy fear mongering",1
"bill gates creator name, harmful, vaccine conspiracy fear mongering",1
"harmful, planned pandemic",1
"bill gates, harmful, planned pandemic, pharma conspiracy fear mongering, vaccine fear mongering, world government fear mongering",1
"harmful, planned pandemic, selling supplements creator name",1
"false claims posing as official source, harmful, vaccine conspiracy fear mongering",1
deleted,1
"potentially misleading, creator name",1
"harmful, planned pandemic, vaccine fear mongering",1
"potentially misleading, false claims",1
"deleted hyperlink, potentially misleading, unconfirmed claim",1
"potentially misleading, number quoted has no source",1
"harmful, questions authenticity of news, threatening or malicious intentions towards individual/group ",1
"potentially misleading, selling supplements",1
"election fraud, harmful, planned pandemic",1
"anti lgbtq+ fear mongering, false claims creator name, harmful, pharma conspiracy fear mongering",1
"anti lgbtq+ fear mongering, harmful, vaccine fear mongering, questions authenticity of news",1
"potentially misleading, unverifiable source creator name",1
"harmful, vaccine fear mongering alex jones post",1
"safe, infected person",1
"false claims alex jones post, harmful, planned pandemic",1
"harmful, anti african fear mongering",1
"false claims alex jones post, harmful, vaccine fear mongering",1
"harmful, election fraud, vaccine conspiracy fear mongering",1
"false claims creator name, harmful, vaccine fear mongering",1
"bill gates, harmful, pharma conspiracy fear mongering",1
"harmful, vaccine fear mongering, u.s. government fear mongering",1
"harmful, vaccine fear mongering, world government fear mongering",1
Grand Total,379
